标题,价格,样式,楼层,朝向,面积,小区,地址
如您所见，一室小户型，地铁沿线，光线充足,4800元/月,1室 0厅,中区/7层,暂无数据,徐汇 徐家汇,裕德路66弄,裕德路66弄
呼玛三村，2室1厅，看房客户多，看房方便,3800元/月,2室 1厅,中区/6层,暂无数据,宝山 张庙,呼玛三村,呼玛三村
生活很便利，温馨一室，享受好房，看房有钥匙,4000元/月,1室 1厅,中区/6层,暂无数据,徐汇 田林,田林十四村,田林十四村
有钥匙，好楼层，生活很便利，看房客户多,12000元/月,3室 2厅,中区/33层,暂无数据,普陀 中远两湾城,中远两湾城,"远景路97弄、中潭路100弄（四期）,"
好房待租，钥匙在店，采光棒，看房客户多,5500元/月,2室 2厅,高区/6层,暂无数据,闵行 航华,丹桂花园,航北路228弄
钥匙在链家，房型正气，多次带看，高区阳光房,4700元/月,2室 1厅,高区/6层,朝南北,闸北 阳城,龙潭小区,"沪太路1170弄,灵石路1123弄,灵石......"
金旋小区，精致户型，受欢迎好房，钥匙房,5200元/月,2室 1厅,中区/6层,暂无数据,浦东 北蔡,金旋小区,"北艾路1128弄1-28号,北艾路113......"
菊园，高清实拍，近地铁，有钥匙,14000元/月,3室 2厅,低区/20层,朝南北,浦东 陆家嘴,菊园,浦城路366弄
高区景观房，上门实勘，近地铁，看房有钥匙,16000元/月,2室 2厅,高区/14层,暂无数据,闵行 金虹桥,名都城（公寓）,虹许路788号
甘泉苑，两室户，有钥匙，近地铁,3800元/月,2室 1厅,高区/6层,暂无数据,普陀 甘泉宜川,甘泉苑,"平利路21弄,灵石路1082弄,志丹路5......"
民主花园，南北通，钥匙在店，一链倾城,4500元/月,2室 1厅,高区/6层,朝南北,宝山 张庙,民主花园,共和新路4703弄51-100号
高清实拍，好楼层，如您所见，有钥匙房源,7500元/月,2室 2厅,中区/14层,朝南,浦东 杨东,涵合园（公寓）,东绣路1389弄
中远两湾城，1室2厅，高清大图，生活很便利,7300元/月,1室 2厅,低区/30层,暂无数据,普陀 中远两湾城,中远两湾城,"远景路97弄、中潭路100弄（四期）,"
上南一村，温馨之家，有钥匙方便看，多次带看,4000元/月,1室 1厅,中区/6层,朝南,浦东 世博,上南一村,上南一村
视野开阔，近地铁，2室2厅，如您所见,8300元/月,2室 2厅,高区/34层,朝南,普陀 中远两湾城,中远两湾城,"远景路97弄、中潭路100弄（四期）,"
古美三村，生活很便利，1室1厅1卫，钥匙在链家,4100元/月,1室 1厅,低区/6层,朝南,闵行 古美,古美三村,平阳路360弄
地铁沿线，有钥匙，看房客户多，如您所见,6500元/月,1室 1厅,中区/19层,朝西,黄浦 蓬莱公园,中福花苑,"海潮路3号,海潮路33号,海潮路93弄,......"
泾西一村，1室1厅，高清照片，链家有钥匙,4300元/月,1室 1厅,中区/5层,朝南,浦东 洋泾,泾西一村,"沈家弄路946弄,"
张江汤臣豪园二期，附近有地铁，舒适三室，链家好房,13500元/月,3室 2厅,低区/16层,暂无数据,浦东 张江,张江汤臣豪园二期,晨晖路825弄
金杨新村五街坊，上下楼方便，链家有钥匙，放心好房,5300元/月,2室 1厅,低区/6层,暂无数据,浦东 金杨,金杨新村五街坊,"银山路115弄,云山路1395弄,金杨路......"
东镇小区，放心好房，适合自住，钥匙在链家,8800元/月,2室 2厅,高区/18层,暂无数据,长宁 新华路,东镇小区,法华镇路25弄
亚都国际名园，生活很便利，适合自住，人气房源,13000元/月,2室 2厅,低区/32层,朝南,徐汇 徐家汇,亚都国际名园,南丹东路300弄
真实在租，附近有地铁，高区景观好，实地看房,40000元/月,3室 2厅,高区/55层,暂无数据,浦东 陆家嘴,世茂滨江花园,"潍坊西路1弄,潍坊西路2弄"
附近有地铁，好房待租，链家有钥匙，温馨之家,3100元/月,1室 1厅,低区/6层,朝南,闵行 颛桥,银都新村(1至7区),银都路3118弄1-7区
有钥匙方便看，如您所见，多次带看，好楼层,15000元/月,3室 2厅,中区/20层,暂无数据,浦东 陆家嘴,江临天下,浦明路233弄
地铁沿线，低区出入方便，高清大图，房型正气,14000元/月,3室 2厅,低区/16层,朝南北,杨浦 新江湾城,保辉香景园,国晓路668弄
东方城市花园，低楼层，交通方便，有爱有家,9000元/月,2室 2厅,低区/31层,暂无数据,浦东 塘桥,东方城市花园（二期）,东方路1881弄
享受好房，附近有地铁，看房方便，人气房源,4700元/月,1室 1厅,中区/8层,朝南,浦东 唐镇,毕加索小镇（一期）（公寓）,春泉路45弄
交通方便，高清大图，链家房源，钥匙在店,8500元/月,2室 1厅,高区/26层,朝南,徐汇 徐家汇,青松小区,东安路50弄
中远两湾城，最近看房多，适合自住，好房待租,8500元/月,2室 2厅,低区/34层,朝南,普陀 中远两湾城,中远两湾城,"远景路97弄、中潭路100弄（四期）,"
如您所见，好楼层，交通便利，看房有钥匙,8500元/月,2室 1厅,中区/26层,朝西南,长宁 镇宁路,华山花苑,"华山路1615号,华山路1635号,淮海......"
雅州公寓，交通便利，链家房源，多次带看,14000元/月,2室 2厅,低区/31层,暂无数据,黄浦 人民广场,雅州公寓,新昌路488号
亚都国际名园，两室户，近地铁，享受好房,16300元/月,2室 2厅,低区/32层,朝南北,徐汇 徐家汇,亚都国际名园,南丹东路300弄
宝钢三村，附近有地铁，高清大图，钥匙房,3200元/月,2室 0厅,高区/6层,朝东南,宝山 淞宝,宝钢三村,宝钢三村
久阳滨江公寓，有钥匙，放心好房，2室1厅,8500元/月,2室 1厅,中区/25层,朝南,浦东 陆家嘴,久阳滨江公寓,潍坊西路108弄1号
绿地海怡公寓，实地看房，光线充足，1室1厅1卫,8200元/月,1室 1厅,中区/30层,朝西南,长宁 中山公园,绿地海怡公寓,"延安西路1155号,延安西路1181号"
高区阳光房，看房客户多，如您所见，出行方便,9000元/月,2室 2厅,高区/12层,朝南北,闵行 静安新城,九歌上郡,宜山路2328弄
上海绿城，看房客户多，钥匙在店，好房待租,9500元/月,2室 2厅,低区/18层,朝南,浦东 杨东,上海绿城,锦和路99弄
高清照片，有钥匙房源，地铁沿线，最近看房多,13000元/月,3室 2厅,中区/35层,暂无数据,徐汇 徐家汇,嘉汇广场,斜土路2601号
新家坡美树馆，光线充足，钥匙在店，最近看房多,13500元/月,2室 2厅,中区/37层,朝南,徐汇 建国西路,新家坡美树馆,陕西南路888弄
2室1厅，真实在租，多次带看，有钥匙房源,7800元/月,2室 1厅,中区/25层,朝南,黄浦 世博滨江,越纪公寓,"中山南路1891号,中山南路1893号"
呼玛二村，链家有钥匙，光线棒，高清大图,3800元/月,2室 1厅,高区/6层,朝南,宝山 张庙,呼玛二村,呼玛二村
南北通透，出行方便，享受好房，看房有钥匙,24000元/月,3室 2厅,中区/33层,朝南北,徐汇 徐汇滨江,百汇园,云锦路183弄（原宛平南路1518弄）
上门实拍，光线充足，有爱有家，近地铁,22000元/月,2室 2厅,中区/43层,朝南,浦东 陆家嘴,盛大金磐,东泰路200弄
舒适三室，高清实拍，有钥匙方便看，最近看房多,13000元/月,3室 2厅,高区/11层,暂无数据,浦东 联洋,联洋花园（三期）,丁香路1089弄
静安新城四区，空气清新，简约二室，生活很便利,6300元/月,2室 1厅,中区/24层,暂无数据,闵行 静安新城,静安新城四区,漕宝路1467弄四区
链家房源，人气房源，两室户，近地铁,18500元/月,2室 2厅,中区/37层,朝南,静安 江宁路,君御豪庭,西康路633弄
水清一村，真实在租，人气房源，附近有地铁,4300元/月,2室 1厅,中区/6层,朝南北,闵行 莘庄,水清一村,雅致路228弄
南丹小区，附近有地铁，人气房源，链家房源,6900元/月,1室 1厅,低区/6层,朝南,徐汇 徐家汇,南丹小区,"宜山路60弄,"
联洋年华，人气房源，放心好房，地铁沿线,11000元/月,2室 2厅,低区/26层,朝南,浦东 联洋,联洋年华,丁香路910弄
联洋年华，附近有地铁，链家好房，有钥匙,10500元/月,2室 2厅,中区/24层,朝南,浦东 联洋,联洋年华,丁香路910弄
南丹小区，低楼层，一链倾城，看房有钥匙,3500元/月,1室 0厅,低区/7层,朝北,徐汇 徐家汇,南丹小区,"宜山路60弄,"
新泾七村，看房有钥匙，温馨一室，人气房源,3700元/月,1室 0厅,中区/6层,朝南,长宁 北新泾,新泾七村,"天山西路450弄,金钟路333弄"
中凯城市之光，光线充足，1室1厅，多次带看,11500元/月,1室 1厅,中区/29层,朝南,静安 南京西路,中凯城市之光（静安）,"威海路333弄,大沽路368弄（回搬房）......"
华侨城，钥匙房，实地看房，交通方便,15500元/月,2室 2厅,低区/34层,朝南,普陀 长寿路,华侨城,西康路989弄
上下楼方便，3室2厅2卫，受欢迎好房，交通方便,17800元/月,3室 2厅,低区/15层,朝南,徐汇 徐家汇,永新城,辛耕路81弄
陆家嘴中央公寓，两室户，受欢迎好房，附近有地铁,12500元/月,2室 2厅,中区/33层,暂无数据,浦东 杨东,陆家嘴中央公寓,东绣路99弄
上门实勘，有钥匙，3室2厅1卫，采光棒,8000元/月,3室 2厅,高区/18层,朝南,闵行 古美,万源城尚郡,万源路580弄
交通便利，多次带看，光线非常好，如您所见,6200元/月,2室 1厅,高区/18层,暂无数据,浦东 塘桥,海运新村,浦东南路2178弄
江临天下，生活很便利，多次带看，享受好房,22000元/月,4室 2厅,中区/35层,朝西,浦东 陆家嘴,江临天下,浦明路233弄
山水国际，好房待租，受欢迎好房，链家有钥匙,11500元/月,2室 2厅,中区/29层,朝南,浦东 源深,山水国际,羽山路383弄
九歌上郡，看房客户多，南北户型，2室2厅2卫,9500元/月,2室 2厅,高区/12层,朝南北,闵行 静安新城,九歌上郡,宜山路2328弄
附近有地铁，如您所见，空气清新，小户型,3300元/月,1室 1厅,中区/6层,朝南,浦东 世博,昌七小区,"成山路963弄,成山路1035弄,南码头......"
地铁沿线，上门实拍，看房有钥匙，好房好心情,10000元/月,1室 2厅,中区/25层,朝南,浦东 源深,盛世年华,羽山路100弄
中远两湾城，适合自住，看房客户多，地铁沿线,8800元/月,2室 2厅,高区/33层,暂无数据,普陀 中远两湾城,中远两湾城,"远景路97弄、中潭路100弄（四期）,"
达新大楼，光线充足，地铁沿线，高清照片,5800元/月,2室 1厅,中区/15层,朝北,黄浦 五里桥,达新大楼,"斜土路270号,斜土路280号"
江临天下，链家好房，实地看房，交通便利,19800元/月,4室 2厅,低区/35层,朝西南,浦东 陆家嘴,江临天下,浦明路233弄
南北直通，两室户，链家有钥匙，上下楼方便,4500元/月,2室 1厅,低区/6层,朝南北,闵行 古美,古美西路420弄,古美西路420弄
古北嘉年华庭，交通便利，上门实拍，小户型,11000元/月,1室 1厅,低区/10层,暂无数据,长宁 古北,古北嘉年华庭,"黄金城道258弄（北区）,黄金城道259......"
爱邦大厦，实地看房，生活很便利，放心好房,11000元/月,2室 2厅,中区/29层,朝南,徐汇 徐家汇,爱邦大厦,零陵路585号
文化名园，上门实勘，链家有钥匙，好房好心情,5500元/月,2室 1厅,高区/6层,暂无数据,杨浦 五角场,文化名园,吉浦路375弄
海桐苑，链家好房，高区景观房，实地看房,8800元/月,3室 2厅,高区/6层,朝南,浦东 花木,海桐苑,"海桐路61弄,海桐路73弄"
受欢迎好房，视野很好，链家有钥匙，交通便利,15000元/月,2室 2厅,高区/17层,暂无数据,徐汇 徐家汇,福源汇居,南丹东路168弄
有钥匙房源，地铁沿线，真实在租，高清照片,8700元/月,2室 1厅,中区/26层,暂无数据,静安 江宁路,静安新格公寓,江宁路599弄3号
看房客户多，3房出租，上门实拍，钥匙在店,19000元/月,3室 2厅,高区/27层,朝南北,黄浦 黄浦滨江,金外滩花园,中山南路200弄
3室2厅2卫，交通便利，看房客户多，有钥匙方便看,6500元/月,3室 2厅,中区/11层,暂无数据,松江 九亭,奥林匹克花园,"涞亭北路99弄,涞寅路106弄"
徐家汇花园，受欢迎好房，精致户型，有钥匙房源,11000元/月,2室 2厅,低区/22层,朝南,徐汇 徐家汇,徐家汇花园,宛平南路255弄
鞍山四村第三小区，多次带看，链家有钥匙，1室1厅1卫,4200元/月,1室 1厅,中区/5层,暂无数据,杨浦 鞍山,鞍山四村第三小区,"阜新路180弄,"
崂山二村，好房待租，多次带看，高清大图,3700元/月,1室 1厅,中区/5层,朝南,浦东 陆家嘴,崂山二村,"乳山路161弄1-20号,"
绿地名人坊，受欢迎好房，看房方便，房型正气,12000元/月,2室 2厅,中区/18层,朝南北,黄浦 黄浦滨江,绿地名人坊,中华路429弄
有钥匙房源，小户型，看房客户多，好房好心情,3800元/月,1室 0厅,中区/6层,暂无数据,浦东 三林,思浦小区,"思浦路11弄,"
久阳滨江公寓，最近看房多，真实在租，好楼层,10000元/月,1室 1厅,中区/25层,暂无数据,浦东 陆家嘴,久阳滨江公寓,潍坊西路108弄1号
宛南六村，放心好房，两室户，生活很便利,5500元/月,2室 1厅,高区/6层,暂无数据,徐汇 龙华,宛南六村,"宛南六村,"
徐汇苑，如您所见，精致户型，实地看房,11000元/月,2室 2厅,低区/32层,朝东南,徐汇 龙华,徐汇苑,天钥桥路968弄
东淮海公寓，3房出租，实地看房，上门实勘,15000元/月,3室 2厅,低区/28层,朝南,黄浦 豫园,东淮海公寓,人民路777弄
人气房源，空气清新，享受好房，看房有钥匙,12000元/月,2室 2厅,中区/18层,朝南,长宁 古北,圣美邸,宋园路69弄
温馨一室，光线充足，受欢迎好房，有钥匙房源,5600元/月,1室 2厅,中区/22层,朝南,普陀 长寿路,世纪之门,江宁路1415弄
明华苑，好房好心情，光线充足，交通便利,11000元/月,2室 2厅,中区/17层,朝南,徐汇 徐家汇,明华苑,南丹路138弄
低楼层，钥匙在链家，精致户型，一链倾城,5000元/月,2室 0厅,低区/9层,朝东,长宁 中山公园,大华公寓（长宁）,玉屏南路110弄20-22号
徐汇苑，有钥匙房源，生活很便利，实地看房,12000元/月,2室 2厅,低区/28层,朝南,徐汇 龙华,徐汇苑,天钥桥路968弄
享受好房，实地看房，高清照片，钥匙在链家,6500元/月,1室 1厅,低区/17层,朝西,徐汇 斜土路,儿科大楼,小木桥路224号
陆家嘴中央公寓，地铁沿线，2室2厅，链家有钥匙,15000元/月,2室 2厅,低区/18层,朝南,浦东 杨东,陆家嘴中央公寓,东绣路99弄
中山公寓，两室户，交通便利，最近看房多,11500元/月,2室 2厅,低区/24层,朝南,长宁 中山公园,中山公寓,长宁路1277弄
万源城尚郡，放心好房，南北通，链家有钥匙,8300元/月,3室 2厅,低区/21层,朝南北,闵行 古美,万源城尚郡,万源路580弄
有爱有家，交通方便，空气清新，链家有钥匙,12800元/月,3室 2厅,中区/11层,暂无数据,浦东 联洋,华丽家族花园,锦绣路666弄
大唐盛世花园，看房有钥匙，光线充足，舒适三室,13800元/月,3室 2厅,中区/17层,暂无数据,浦东 花木,大唐盛世花园,樱花路801弄，樱花路802弄，白杨路1......
水岸茗苑，适合自住，钥匙在店，交通便利,11000元/月,2室 2厅,高区/12层,朝南,普陀 长寿路,水岸茗苑,长寿路1112弄
好楼层，高清大图，一链倾城，受欢迎好房,10500元/月,2室 2厅,中区/23层,暂无数据,徐汇 徐家汇,金轩公寓,南丹东路228弄1-9号
三湘四季花城，真实在租，交通便利，有钥匙方便看,3400元/月,1室 1厅,高区/18层,暂无数据,松江 松江大学城,三湘四季花城,"广富林路1599弄,梅家浜路1508弄"
钥匙房，实地看房，有爱有家，高区景观房,20000元/月,2室 2厅,高区/43层,朝西南,浦东 陆家嘴,世茂滨江花园,"潍坊西路1弄,潍坊西路2弄"
出行方便，人气房源，两室户，如您所见,7000元/月,2室 1厅,中区/30层,暂无数据,徐汇 田林,钦州花苑,"钦州路840号,钦州路860号,钦州路8......"
南北通透，链家有钥匙，近地铁，高清实拍,15000元/月,3室 2厅,中区/26层,朝南北,徐汇 徐家汇,徐家汇花园,宛平南路255弄
陆家嘴花园，舒适三室，钥匙在店，交通便利,10000元/月,3室 2厅,低区/17层,暂无数据,浦东 源深,陆家嘴花园(一期),桃林路815弄
好房好心情，好楼层，2室2厅1卫，人气房源,7300元/月,2室 2厅,中区/21层,朝南,闸北 大宁,悠和家园,洛川中路777弄
高清实拍，交通便利，闹中取静，3室1厅,5800元/月,3室 1厅,高区/6层,暂无数据,浦东 三林,三林安居苑,三林路1662弄5-173号
钥匙在店，3室2厅，放心好房，看房客户多,14500元/月,3室 2厅,低区/18层,朝南北,黄浦 黄浦滨江,绿地名人坊,中华路429弄
高清照片，近地铁，受欢迎好房，链家有钥匙,35000元/月,4室 2厅,中区/56层,朝西,浦东 陆家嘴,世茂滨江花园,"潍坊西路1弄,潍坊西路2弄"
汇龙新城，交通便利，简约二室，低楼层,12000元/月,2室 2厅,低区/32层,暂无数据,黄浦 五里桥,汇龙新城,徐家汇路515弄
有钥匙方便看，空气清新，3房出租，高清实拍,15000元/月,3室 2厅,中区/31层,朝南北,黄浦 人民广场,雅州公寓,新昌路488号
慧芝湖花园，钥匙在店，近地铁，最近看房多,8500元/月,2室 2厅,中区/31层,朝南,闸北 大宁,慧芝湖花园,"平型关路1083弄（一、二期）,平型关路......"
最近看房多，有钥匙方便看，放心好房，3室2厅2卫,14500元/月,3室 2厅,低区/18层,朝南,徐汇 徐家汇,徐家汇花园,宛平南路255弄
3室2厅，光线充足，高清实拍，近地铁,56000元/月,3室 2厅,中区/35层,朝南北,黄浦 新天地,翠湖天地嘉苑,黄陂南路506弄
中通大厦，人气房源，链家有钥匙，一室小户型,3500元/月,1室 1厅,高区/29层,朝南,杨浦 周家嘴路,中通大厦,黄兴路1号
天际花园，3室2厅，采光棒，出行方便,16000元/月,3室 2厅,高区/30层,朝南,徐汇 徐家汇,天际花园,南丹东路99弄
天安花园，地铁沿线，钥匙在链家，房型正气,10000元/月,2室 2厅,低区/18层,朝南北,浦东 联洋,天安花园,锦绣路800弄
链家有钥匙，一链倾城，近地铁，精致户型,11500元/月,2室 2厅,中区/25层,暂无数据,浦东 源深,盛世年华,羽山路100弄
看房方便，链家好房，南北通透，光线充足,15500元/月,2室 2厅,中区/25层,朝南北,徐汇 徐家汇,福源汇居,南丹东路168弄
实地看房，1室2厅，链家好房，光线充足,8500元/月,1室 2厅,中区/29层,朝东,静安 南京西路,骏豪国际,陕西北路288号
光线充足，链家有钥匙，多次带看，2室2厅2卫,11500元/月,2室 2厅,中区/32层,朝西南,徐汇 龙华,徐汇苑,天钥桥路968弄
菊园，享受好房，3室2厅2卫，多次带看,13000元/月,3室 2厅,低区/34层,朝南,浦东 陆家嘴,菊园,浦城路366弄
一链倾城，钥匙房，2室2厅2卫，交通方便,21000元/月,2室 2厅,高区/26层,朝东,浦东 陆家嘴,仁恒滨江园,"浦明路99弄（一、二期）,浦城路99弄（......"
丽园新村，1室0厅，地铁沿线，多次带看,3800元/月,1室 0厅,中区/7层,朝北,黄浦 五里桥,丽园新村,"斜土路80弄5-24号,五里桥路39弄,......"
陆家嘴中央公寓，出行方便，高清照片，适合自住,13000元/月,2室 2厅,低区/18层,朝南,浦东 杨东,陆家嘴中央公寓,东绣路99弄
人气房源，附近有地铁，有钥匙方便看，光线充足,8800元/月,3室 2厅,中区/18层,朝南,浦东 源深,桃林小区,"民生路818弄,灵山路701弄"
交通便利，高区景观好，高清大图，链家房源,4000元/月,2室 1厅,高区/6层,朝南,杨浦 中原,工农四村星源公寓,工农四村1-45号
有钥匙方便看，一链倾城，采光好，简约二室,14000元/月,2室 2厅,高区/32层,朝南,徐汇 徐家汇,亚都国际名园,南丹东路300弄
温馨之家，真实在租，视野开阔，上门实拍,4500元/月,1室 1厅,高区/6层,朝南,浦东 陆家嘴,东昌新村,东昌新村
新湖明珠城，空气清新，地铁沿线，简约二室,9500元/月,2室 2厅,中区/33层,朝南,普陀 武宁,新湖明珠城,"东新路88弄（一、二期）,东新路99弄（......"
西镇小区，地铁沿线，好房好心情，小户型,3500元/月,1室 0厅,中区/6层,朝南,浦东 洋泾,西镇小区（浦东）,"洋泾镇路89弄,定水路50弄,北洋泾路6......"
联洋年华，2室2厅，上下楼方便，最近看房多,11500元/月,2室 2厅,低区/21层,朝南,浦东 联洋,联洋年华,丁香路910弄
凯欣豪园，高清大图，钥匙房，光线棒,13000元/月,2室 2厅,高区/31层,朝东,长宁 中山公园,凯欣豪园,汇川路88弄
盛大金磐，钥匙在链家，改善住房，高清大图,32000元/月,3室 2厅,中区/43层,朝南,浦东 陆家嘴,盛大金磐,东泰路200弄
香梅花园，一链倾城，出行方便，链家有钥匙,14000元/月,3室 2厅,中区/17层,朝南,浦东 杨东,香梅花园,"锦绣路1650弄（一期）,梅花路50弄（......"
汇豪天下，看房方便，交通便利，低楼层,15000元/月,2室 2厅,低区/35层,朝南,浦东 陆家嘴,汇豪天下,商城路108弄
恒大小区，有钥匙方便看，一链倾城，新鲜好房,4200元/月,1室 1厅,中区/6层,暂无数据,浦东 世博,恒大小区,"成山路608弄,"
新鲜上架，看房方便，人气房源，近地铁,3700元/月,1室 1厅,低区/12层,朝南,宝山 共康,九英里,长临路1318弄
河风丽景，新出房源，适合自住，钥匙房,12000元/月,2室 2厅,低区/18层,朝南,长宁 天山,河风丽景,天山路88弄
新鲜挂牌，低楼层，小户型，钥匙房,2800元/月,1室 2厅,低区/6层,朝南,闵行 颛桥,众众德尚世嘉,都市路2899弄
2室1厅，有钥匙房源，放心好房，新出房源,4300元/月,2室 1厅,高区/6层,暂无数据,闸北 彭浦,康泉小区,"三泉路770弄,三泉路820弄"
共和园小区，新鲜挂牌，钥匙在链家，视野开阔,6000元/月,2室 1厅,高区/7层,朝南北,黄浦 黄浦滨江,共和园小区,"中华路106弄5支弄,中华路128弄,老......"
适合自住，好楼层，人气房源，如您所见,9500元/月,2室 2厅,中区/35层,暂无数据,普陀 武宁,逸流公寓,普雄路29弄1-13号
新鲜上架，有钥匙房源，温馨一室，实地看房,4200元/月,1室 1厅,中区/6层,朝南,闸北 阳城,龙潭小区,"沪太路1170弄,灵石路1123弄,灵石......"
有爱有家，上门实勘，生活很便利，两室户,4800元/月,2室 0厅,高区/6层,暂无数据,浦东 三林,南杨小区(长清路),"长清路643弄,"
金沙雅苑，两室户，人气房源，低楼层,8500元/月,2室 2厅,低区/18层,暂无数据,普陀 长征,金沙雅苑（四期）,金沙江路2299弄
生活很便利，1室0厅1卫，新出房源，人气房源,3600元/月,1室 0厅,高区/6层,暂无数据,长宁 新华路,安顺路231弄,安顺路231弄
鞍山四村第三小区，出行方便，新上房源，高清大图,5000元/月,2室 1厅,中区/5层,暂无数据,杨浦 鞍山,鞍山四村第三小区,"阜新路180弄,"
田林十四村，实地看房，链家房源，一室小户型,4000元/月,1室 0厅,高区/6层,朝南,徐汇 田林,田林十四村,田林十四村
刚挂牌，附近有地铁，人气房源，高清照片,14000元/月,3室 2厅,低区/12层,朝南北,闵行 金汇,锦绣江南(四期),金汇南路301弄
永和二村，低区出入方便，实地看房，地铁沿线,4000元/月,2室 1厅,低区/6层,暂无数据,闸北 永和,永和二村,"原平路689弄,原平路777弄,高平路7......"
低区出入方便，链家好房，有钥匙，交通便利,4800元/月,2室 1厅,低区/6层,暂无数据,闵行 航华,航华四村,航华四村
电影华苑，交通便利，南北直通，刚挂牌,9000元/月,1室 2厅,低区/21层,朝南北,徐汇 徐家汇,电影华苑,零陵路751弄
双晖小区，1室1厅1卫，新鲜好房，高区阳光房,6500元/月,1室 1厅,高区/18层,朝西,徐汇 斜土路,双晖小区,"瑞金南路546号,"
高区景观好，人气房源，钥匙在链家，真实在租,2800元/月,3室 2厅,高区/17层,暂无数据,嘉定 安亭,路劲上海派,"荣轩路60弄,"
大金更小区，新出好房，2室1厅1卫，高清照片,6500元/月,2室 1厅,中区/6层,暂无数据,长宁 仙霞,大金更小区,"茅台路255弄,茅台路295弄,古北路5......"
近地铁，1室1厅，人气房源，新上房源,4500元/月,1室 1厅,低区/7层,暂无数据,徐汇 徐家汇,乐山六七村,"秀山路4弄,秀山路16弄,乐山路30弄,......"
近地铁，高清照片，一链倾城，新出好房,6000元/月,3室 2厅,中区/14层,暂无数据,宝山 上大,保利叶之林,"华秋路349弄（一期）,塘祁路577弄（......"
钦州花苑，看房方便，人气房源，适合自住,6500元/月,2室 1厅,高区/30层,朝南,徐汇 田林,钦州花苑,"钦州路840号,钦州路860号,钦州路8......"
钦州公寓，抢鲜笋盘，生活很便利，上门实拍,5600元/月,2室 1厅,中区/18层,暂无数据,徐汇 田林,钦州公寓,"钦州路760号,钦州路780号,钦州路8......"
公安大楼，近地铁，实地看房，新鲜挂牌,6500元/月,1室 0厅,高区/32层,暂无数据,徐汇 衡山路,公安大楼（徐汇）,吴兴路270弄
凯欣豪园，上门实勘，链家好房，有钥匙方便看,9000元/月,1室 0厅,低区/36层,朝西,长宁 中山公园,凯欣豪园,汇川路88弄
惠达大厦，人气房源，适合自住，附近有地铁,10000元/月,2室 2厅,高区/15层,暂无数据,黄浦 老西门,惠达大厦,西藏南路748号
新出房源，链家好房，人气房源，钥匙房,4500元/月,1室 1厅,中区/6层,暂无数据,长宁 北新泾,广友小区,福泉路120弄
平阳三村，生活很便利，人气房源，有爱有家,5000元/月,2室 2厅,低区/6层,朝南,闵行 古美,平阳三村,虹莘路1700弄
天池一村，附近有地铁，一室小户型，新出房源,3500元/月,1室 1厅,高区/6层,暂无数据,浦东 北蔡,天池一村,"北艾路73弄,北艾路155弄,北艾路22......"
生活很便利，温馨之家，链家有钥匙，抢鲜笋盘,4400元/月,1室 0厅,高区/6层,暂无数据,长宁 新华路,安东小区,"安顺路165号,安顺路181弄,安顺路1......"
钥匙在链家，新出好房，人气房源，好楼层,6300元/月,2室 2厅,中区/25层,朝南,浦东 南码头,临沂大楼,东方路2880弄1-4号
2室1厅1卫，钥匙在店，实地看房，南北直通,4800元/月,2室 1厅,中区/11层,朝南北,闵行 浦江,浦江世博家园四街坊,北江燕路68弄
两室户，交通方便，链家有钥匙，人气房源,4500元/月,2室 0厅,高区/6层,暂无数据,杨浦 周家嘴路,浦罡小区,"长阳路1841弄,长阳路1839弄"
好楼层，真实在租，人气房源，两室户,9500元/月,2室 2厅,中区/17层,暂无数据,浦东 塘桥,东方汇景苑,北园路258弄
有钥匙，抢鲜笋盘，2室2厅2卫，交通便利,5000元/月,2室 2厅,低区/29层,朝南北,普陀 万里,万里双子座,富平路727弄
地铁沿线，刚挂牌，温馨一室，人气房源,4500元/月,1室 0厅,高区/7层,暂无数据,徐汇 康健,康健路120弄,康健路120弄
人气房源，生活很便利，改善住房，新鲜上架,8500元/月,3室 2厅,高区/35层,暂无数据,虹口 临平路,中皇广场,梧州路218弄
温馨之家，好楼层，出行方便，高清照片,4200元/月,1室 1厅,中区/6层,暂无数据,浦东 洋泾,崮山小区二街坊,灵山路1415弄
新出好房，链家好房，一室小户型，空气清新,7500元/月,1室 0厅,中区/33层,暂无数据,静安 江宁路,东海园,"昌平路428弄（一期）,西康路658弄（......"
高区采光好，实地看房，钥匙在链家，两室户,6200元/月,2室 1厅,高区/29层,暂无数据,杨浦 东外滩,霍兰公寓,长阳路1220弄
钥匙在店，实地看房，如您所见，2室2厅1卫,8800元/月,2室 2厅,中区/34层,朝西南,普陀 中远两湾城,中远两湾城,"远景路97弄、中潭路100弄（四期）,"
上门实勘，新出房源，钥匙房，人气房源,5000元/月,2室 1厅,低区/6层,朝南北,杨浦 黄兴公园,延吉四村,延吉四村
绿洲康城亲水湾，好房好心情，3室2厅2卫，新鲜上架,6500元/月,3室 2厅,高区/10层,暂无数据,浦东 御桥,绿洲康城亲水湾(东区),"康桥路1633弄,"
视野很好，温馨一室，新鲜上架，交通便利,3200元/月,1室 1厅,高区/11层,暂无数据,闵行 颛桥,万顺水原墅(公寓),都市路777弄
人气房源，有钥匙房源，两室户，好房好心情,12000元/月,2室 2厅,低区/37层,暂无数据,徐汇 徐家汇,东方曼哈顿,虹桥路168号
